date,account_value
2024-11-26,1341783.1745013224
2024-11-27,1337648.082040085
2024-11-29,1343288.851958035
2024-12-02,1339440.9446592557
2024-12-03,1337153.7450090188
2024-12-04,1346381.291697638
2024-12-05,1338953.7346806345
2024-12-06,1335269.0485665395
2024-12-09,1328072.945498612
2024-12-10,1323463.7287943903
2024-12-11,1320494.5520110088
2024-12-12,1313482.4671004743
2024-12-13,1310908.3159616296
2024-12-16,1307600.8962794216
2024-12-17,1299597.450057472
2024-12-18,1266007.418210063
2024-12-19,1266467.0546743067
2024-12-20,1281363.0616321792
2024-12-23,1283357.7016213927
2024-12-24,1295025.153821654
2024-12-26,1295885.6577767008
2024-12-27,1285907.901190545
2024-12-30,1273391.0445431431
2024-12-31,1272508.3415722838
2025-01-02,1267963.5020139182
2025-01-03,1278128.7818652268
2025-01-06,1277363.9673520243
2025-01-07,1272033.9836554488
2025-01-08,1275229.5904001174
2025-01-10,1254389.6217030664
2025-01-13,1265117.5881867586
2025-01-14,1271732.5443881005
2025-01-15,1292767.5139135253
2025-01-16,1290720.9983294657
2025-01-17,1300731.9366024148
2025-01-21,1316823.068469476
2025-01-22,1320738.9748587967
2025-01-23,1332952.522848045
2025-01-24,1328740.551689941
2025-01-27,1337394.429075196
2025-01-28,1341485.3571786594
2025-01-29,1337392.676521316
2025-01-30,1342435.8255662092
2025-01-31,1332342.049913202
2025-02-03,1328670.5663716688
2025-02-04,1332682.3958766847
2025-02-05,1342171.1899303393
2025-02-06,1338412.8965532873
2025-02-07,1325125.850894118
2025-02-10,1330121.2136365518
2025-02-11,1333807.3017937506
2025-02-12,1327074.8076455279
2025-02-13,1337330.168766265
2025-02-14,1332384.4617170962
2025-02-18,1332691.3923199351
2025-02-19,1334822.4978379325
2025-02-20,1321334.7263410485
2025-02-21,1298943.0464387052
2025-02-24,1299935.8097932243
2025-02-25,1304719.9313746635
2025-02-26,1299095.635463185
2025-02-27,1293304.3795854112
