date,ddpg,td3,ppo,sac,mean var,dji
2023-11-16,1034266.1114616455,1070376.8827771798,1048051.5754709644,1053967.4645281602,1059632.0981912985,1045227.807468637
2023-11-17,1034331.2825527252,1067448.9889821664,1049549.326641226,1052535.8399401475,1057375.0326130174,1045282.0198019894
2023-11-20,1036134.5147781433,1077814.8286084787,1057170.7480744305,1057486.2439318467,1061934.709617075,1051376.4675009914
2023-11-21,1033129.9355392517,1075266.333102192,1056949.7626305753,1058489.3213778306,1062261.1168030095,1049499.5991325092
2023-11-22,1037917.224264151,1081406.869040455,1064141.6476910342,1065564.3399782944,1068489.0000127484,1055025.2846790105
2023-11-24,1042484.9735298217,1083881.4629811898,1067982.5134629156,1070113.9740420152,1070408.1603763825,1058528.2893742193
2023-11-27,1040354.0002365173,1083082.8086843148,1066535.085575632,1065977.4517718125,1068231.2455836593,1056832.985587698
2023-11-28,1040691.2162189544,1086156.5893582955,1069450.4408881627,1066271.915059166,1069620.5546230578,1059330.8422143029
2023-11-29,1043704.6257648529,1087315.3168286935,1069843.278806347,1068102.1381495134,1063569.5099310377,1059732.8780743591
2023-11-30,1060901.572227484,1106556.0184926644,1084716.2476946735,1085553.861732773,1078595.3447237504,1075300.2300051714
2023-12-01,1071196.0485611022,1117547.4142675058,1095730.9695220967,1095241.1854250948,1083726.1385095587,1084112.0709134708
2023-12-04,1071036.2443580688,1111428.1037397042,1098906.3014894237,1097595.3567278902,1084096.2917439265,1082883.9979913395
2023-12-05,1066027.1337986053,1112921.4465016976,1097285.9704113065,1092759.0842593233,1091828.917396809,1080494.6828683652
2023-12-06,1064872.2743549407,1108675.362765278,1100261.4014733469,1090846.17086821,1090376.7443648046,1078397.109547937
2023-12-07,1067011.202735907,1110057.3414411203,1102480.1071400377,1092491.3133242647,1092128.6738957798,1080279.9365996108
2023-12-08,1071269.1129894317,1112340.0535268441,1105232.9609938622,1095878.0769579927,1094007.4058147953,1084182.9909271454
2023-12-11,1075983.6120529235,1118303.3844785348,1114008.7559185943,1098714.82560759,1092139.2305454342,1088880.6531838414
2023-12-12,1079577.4143543304,1126114.5674047128,1119705.9180753136,1103803.217315964,1098609.632927178,1094055.47744358
2023-12-13,1098363.4351177276,1138995.3679723397,1139026.4722932854,1119847.628632584,1116371.3379328465,1109378.4065266042
2023-12-14,1109141.4495487274,1133933.2369756356,1142313.6932133732,1120492.6644602206,1108965.8582355813,1114107.6147531387
2023-12-15,1109343.2578163208,1135599.053667988,1143708.8415302448,1116468.4279718783,1106888.3916510162,1115806.7741581958
